country,Observed,Number,latitude,longitude
GAZ:Antarctica,6.492307692,130,-77.435,162.189
GAZ:Arctic Ocean,5.090909091,11,78.712,-104.878
GAZ:Argentina,20.8,5,-32.8,-68.867
GAZ:Australia,9.895538629,919,-37.673563,145.89612
GAZ:Belize,8.368421053,19,17.746,-88.065
GAZ:Brazil,10.53488372,43,-23.18,-44.18
GAZ:Canada,18.53846154,52,43.63,-80.39
GAZ:China,7.88,25,32.76,81.73
GAZ:Costa Rica,16.20634921,63,9.75,-83.75
GAZ:Ecuador,11,2,-0.351,-76.058
GAZ:England,2,1,50.338,-4.148
GAZ:Germany,3.901234568,81,53.1,13.033
GAZ:Greenland,7.8,5,74.48202,-20.53167
GAZ:Gulf of Mexico,4.176470588,17,28.05944,-90.24821632
GAZ:India,39,1,26.895,70.688333
GAZ:Italy,37.80392157,51,44.597,8.783
GAZ:Japan,11.47634584,613,35.117,138.937
GAZ:Kenya,13.35245902,122,0.15,35.52
GAZ:Malaysia,10.25,52,4.1865,114.017
GAZ:Mexico,15,7,20.91,-88.867
GAZ:Mongolia,20.85903084,227,51.024,100.772
GAZ:New Zealand,28.95652174,23,-40.017,175.267
GAZ:Nicaragua,8.783333333,60,13.26267,-86.236204
GAZ:North Atlantic Ocean,2,3,30.123961,-42.119688
GAZ:Norway,4.5,1,78.243,15.657
GAZ:Panama,6.142857143,42,9.163,-79.838
GAZ:Peru,21.25,4,-12.65,-71.23
GAZ:Puerto Rico,8.594936709,79,18.13,-66.93
GAZ:Russia,8.05,40,69.438,161.71
GAZ:Scotland,7.509513742,473,55.873,-4.284
GAZ:Spain,14.97844113,603,37.43155278,-3.055088889
GAZ:Sweden,4.684210526,19,58.322,11.534
GAZ:Tanzania,49.7265625,128,-5.31,37.51
GAZ:Venezuela,10.24299065,107,6.07,61.468889
