SampleID,adiv_observed_otus,temperature_deg_c,ph,salinity_psu,oxygen_mg_per_l,phosphate_umol_per_l,ammonium_umol_per_l,nitrate_umol_per_l,sulfate_umol_per_l
X550.L1S1.s.1.sequence,84,,,,,,,,
X550.L1S10.s.1.sequence,68,,,,,,,,
X550.L1S100.s.1.sequence,80,,,,,,,,
X550.L1S101.s.1.sequence,80,,,,,,,,
X550.L1S102.s.1.sequence,108,,,,,,,,
X550.L1S103.s.1.sequence,89,,,,,,,,
X550.L1S104.s.1.sequence,91,,,,,,,,
X550.L1S105.s.1.sequence,99,,,,,,,,
X550.L1S106.s.1.sequence,90,,,,,,,,
X550.L1S107.s.1.sequence,96,,,,,,,,
X550.L1S108.s.1.sequence,108,,,,,,,,
X550.L1S109.s.1.sequence,91,,,,,,,,
X550.L1S11.s.1.sequence,64,,,,,,,,
X550.L1S110.s.1.sequence,94,,,,,,,,
X550.L1S111.s.1.sequence,77,,,,,,,,
X550.L1S112.s.1.sequence,87,,,,,,,,
X550.L1S113.s.1.sequence,115,,,,,,,,
X550.L1S114.s.1.sequence,85,,,,,,,,
X550.L1S115.s.1.sequence,87,,,,,,,,
X550.L1S116.s.1.sequence,93,,,,,,,,
X550.L1S117.s.1.sequence,96,,,,,,,,
X550.L1S118.s.1.sequence,112,,,,,,,,
X550.L1S119.s.1.sequence,82,,,,,,,,
X550.L1S12.s.1.sequence,67,,,,,,,,
X550.L1S120.s.1.sequence,87,,,,,,,,
X550.L1S121.s.1.sequence,86,,,,,,,,
X550.L1S122.s.1.sequence,88,,,,,,,,
X550.L1S123.s.1.sequence,81,,,,,,,,
X550.L1S124.s.1.sequence,82,,,,,,,,
X550.L1S125.s.1.sequence,93,,,,,,,,
X550.L1S126.s.1.sequence,100,,,,,,,,
X550.L1S127.s.1.sequence,81,,,,,,,,
X550.L1S128.s.1.sequence,97,,,,,,,,
X550.L1S129.s.1.sequence,84,,,,,,,,
X550.L1S13.s.1.sequence,60,,,,,,,,
X550.L1S130.s.1.sequence,87,,,,,,,,
X550.L1S131.s.1.sequence,96,,,,,,,,
X550.L1S132.s.1.sequence,103,,,,,,,,
X550.L1S133.s.1.sequence,70,,,,,,,,
X550.L1S134.s.1.sequence,86,,,,,,,,
X550.L1S135.s.1.sequence,66,,,,,,,,
X550.L1S136.s.1.sequence,82,,,,,,,,
X550.L1S137.s.1.sequence,123,,,,,,,,
X550.L1S138.s.1.sequence,105,,,,,,,,
X550.L1S139.s.1.sequence,119,,,,,,,,
X550.L1S14.s.1.sequence,79,,,,,,,,
X550.L1S140.s.1.sequence,118,,,,,,,,
X550.L1S141.s.1.sequence,95,,,,,,,,
X550.L1S142.s.1.sequence,132,,,,,,,,
X550.L1S143.s.1.sequence,113,,,,,,,,
X550.L1S144.s.1.sequence,126,,,,,,,,
X550.L1S145.s.1.sequence,141,,,,,,,,
X550.L1S146.s.1.sequence,103,,,,,,,,
X550.L1S147.s.1.sequence,145,,,,,,,,
X550.L1S148.s.1.sequence,153,,,,,,,,
X550.L1S149.s.1.sequence,140,,,,,,,,
X550.L1S15.s.1.sequence,77,,,,,,,,
X550.L1S150.s.1.sequence,153,,,,,,,,
X550.L1S151.s.1.sequence,135,,,,,,,,
X550.L1S152.s.1.sequence,104,,,,,,,,
X550.L1S153.s.1.sequence,135,,,,,,,,
X550.L1S154.s.1.sequence,93,,,,,,,,
X550.L1S155.s.1.sequence,91,,,,,,,,
X550.L1S156.s.1.sequence,131,,,,,,,,
X550.L1S157.s.1.sequence,105,,,,,,,,
X550.L1S158.s.1.sequence,111,,,,,,,,
X550.L1S159.s.1.sequence,118,,,,,,,,
X550.L1S16.s.1.sequence,80,,,,,,,,
X550.L1S160.s.1.sequence,134,,,,,,,,
X550.L1S161.s.1.sequence,103,,,,,,,,
X550.L1S162.s.1.sequence,126,,,,,,,,
X550.L1S163.s.1.sequence,107,,,,,,,,
X550.L1S164.s.1.sequence,108,,,,,,,,
X550.L1S165.s.1.sequence,130,,,,,,,,
X550.L1S166.s.1.sequence,122,,,,,,,,
X550.L1S167.s.1.sequence,120,,,,,,,,
X550.L1S168.s.1.sequence,115,,,,,,,,
X550.L1S169.s.1.sequence,145,,,,,,,,
X550.L1S17.s.1.sequence,77,,,,,,,,
X550.L1S170.s.1.sequence,114,,,,,,,,
X550.L1S171.s.1.sequence,121,,,,,,,,
X550.L1S172.s.1.sequence,91,,,,,,,,
X550.L1S173.s.1.sequence,99,,,,,,,,
X550.L1S174.s.1.sequence,109,,,,,,,,
X550.L1S175.s.1.sequence,144,,,,,,,,
X550.L1S176.s.1.sequence,94,,,,,,,,
X550.L1S177.s.1.sequence,134,,,,,,,,
X550.L1S178.s.1.sequence,157,,,,,,,,
X550.L1S179.s.1.sequence,115,,,,,,,,
X550.L1S18.s.1.sequence,73,,,,,,,,
X550.L1S180.s.1.sequence,79,,,,,,,,
X550.L1S181.s.1.sequence,94,,,,,,,,
X550.L1S182.s.1.sequence,107,,,,,,,,
X550.L1S183.s.1.sequence,100,,,,,,,,
X550.L1S184.s.1.sequence,101,,,,,,,,
X550.L1S185.s.1.sequence,111,,,,,,,,
X550.L1S186.s.1.sequence,112,,,,,,,,
X550.L1S187.s.1.sequence,107,,,,,,,,
X550.L1S188.s.1.sequence,122,,,,,,,,
X550.L1S189.s.1.sequence,122,,,,,,,,
X550.L1S19.s.1.sequence,86,,,,,,,,
X550.L1S190.s.1.sequence,99,,,,,,,,
X550.L1S191.s.1.sequence,109,,,,,,,,
X550.L1S193.s.1.sequence,100,,,,,,,,
X550.L1S194.s.1.sequence,107,,,,,,,,
X550.L1S195.s.1.sequence,146,,,,,,,,
X550.L1S196.s.1.sequence,113,,,,,,,,
X550.L1S197.s.1.sequence,92,,,,,,,,
X550.L1S198.s.1.sequence,151,,,,,,,,
X550.L1S199.s.1.sequence,107,,,,,,,,
X550.L1S2.s.1.sequence,48,,,,,,,,
X550.L1S20.s.1.sequence,79,,,,,,,,
X550.L1S200.s.1.sequence,100,,,,,,,,
X550.L1S201.s.1.sequence,115,,,,,,,,
X550.L1S202.s.1.sequence,127,,,,,,,,
X550.L1S203.s.1.sequence,132,,,,,,,,
X550.L1S204.s.1.sequence,108,,,,,,,,
X550.L1S205.s.1.sequence,124,,,,,,,,
X550.L1S206.s.1.sequence,121,,,,,,,,
X550.L1S207.s.1.sequence,112,,,,,,,,
X550.L1S208.s.1.sequence,114,,,,,,,,
X550.L1S209.s.1.sequence,117,,,,,,,,
X550.L1S21.s.1.sequence,66,,,,,,,,
X550.L1S210.s.1.sequence,120,,,,,,,,
X550.L1S212.s.1.sequence,173,,,,,,,,
X550.L1S213.s.1.sequence,135,,,,,,,,
X550.L1S214.s.1.sequence,174,,,,,,,,
X550.L1S215.s.1.sequence,120,,,,,,,,
X550.L1S216.s.1.sequence,104,,,,,,,,
X550.L1S217.s.1.sequence,72,,,,,,,,
X550.L1S218.s.1.sequence,111,,,,,,,,
X550.L1S219.s.1.sequence,116,,,,,,,,
X550.L1S22.s.1.sequence,59,,,,,,,,
X550.L1S220.s.1.sequence,119,,,,,,,,
X550.L1S221.s.1.sequence,128,,,,,,,,
X550.L1S222.s.1.sequence,165,,,,,,,,
X550.L1S223.s.1.sequence,106,,,,,,,,
X550.L1S224.s.1.sequence,124,,,,,,,,
X550.L1S225.s.1.sequence,133,,,,,,,,
X550.L1S226.s.1.sequence,127,,,,,,,,
X550.L1S228.s.1.sequence,129,,,,,,,,
X550.L1S229.s.1.sequence,101,,,,,,,,
X550.L1S23.s.1.sequence,111,,,,,,,,
X550.L1S231.s.1.sequence,118,,,,,,,,
X550.L1S232.s.1.sequence,117,,,,,,,,
X550.L1S233.s.1.sequence,115,,,,,,,,
X550.L1S234.s.1.sequence,113,,,,,,,,
X550.L1S235.s.1.sequence,115,,,,,,,,
X550.L1S236.s.1.sequence,101,,,,,,,,
X550.L1S237.s.1.sequence,117,,,,,,,,
X550.L1S238.s.1.sequence,98,,,,,,,,
X550.L1S239.s.1.sequence,162,,,,,,,,
X550.L1S24.s.1.sequence,91,,,,,,,,
X550.L1S240.s.1.sequence,118,,,,,,,,
X550.L1S241.s.1.sequence,165,,,,,,,,
X550.L1S242.s.1.sequence,130,,,,,,,,
X550.L1S243.s.1.sequence,123,,,,,,,,
X550.L1S244.s.1.sequence,116,,,,,,,,
X550.L1S245.s.1.sequence,128,,,,,,,,
X550.L1S246.s.1.sequence,133,,,,,,,,
X550.L1S247.s.1.sequence,123,,,,,,,,
X550.L1S248.s.1.sequence,141,,,,,,,,
X550.L1S249.s.1.sequence,118,,,,,,,,
X550.L1S25.s.1.sequence,82,,,,,,,,
X550.L1S250.s.1.sequence,125,,,,,,,,
X550.L1S251.s.1.sequence,112,,,,,,,,
X550.L1S252.s.1.sequence,115,,,,,,,,
X550.L1S253.s.1.sequence,121,,,,,,,,
X550.L1S254.s.1.sequence,113,,,,,,,,
X550.L1S255.s.1.sequence,118,,,,,,,,
X550.L1S256.s.1.sequence,125,,,,,,,,
X550.L1S257.s.1.sequence,121,,,,,,,,
X550.L1S258.s.1.sequence,166,,,,,,,,
X550.L1S259.s.1.sequence,112,,,,,,,,
X550.L1S26.s.1.sequence,76,,,,,,,,
X550.L1S260.s.1.sequence,120,,,,,,,,
X550.L1S261.s.1.sequence,173,,,,,,,,
X550.L1S262.s.1.sequence,182,,,,,,,,
X550.L1S263.s.1.sequence,148,,,,,,,,
X550.L1S264.s.1.sequence,173,,,,,,,,
X550.L1S266.s.1.sequence,122,,,,,,,,
