SampleID,temperature_deg_c,ph,salinity_psu,oxygen_mg_per_l,phosphate_umol_per_l,ammonium_umol_per_l,nitrate_umol_per_l,sulfate_umol_per_l,chao1,shannon,observed
1001.SKB1,15,6.94,7.15,NA,NA,NA,NA,NA,4806.597403,10.25423283,2699
1001.SKB2,15,6.94,7.15,NA,NA,NA,NA,NA,4581.127389,10.22615666,2665
1001.SKB3,15,6.94,7.15,NA,NA,NA,NA,NA,4668.23702,10.14423749,2631
1001.SKB4,15,6.94,7.15,NA,NA,NA,NA,NA,4638.913747,9.713241015,2436
1001.SKB5,15,6.94,7.15,NA,NA,NA,NA,NA,4257.406393,9.830852514,2458
1001.SKB6,15,6.94,7.15,NA,NA,NA,NA,NA,4220.078261,9.933768098,2504
1001.SKB7,15,6.94,7.15,NA,NA,NA,NA,NA,1894.644628,6.519058275,876
1001.SKB8,15,6.94,7.15,NA,NA,NA,NA,NA,1771.212766,5.513498425,890
1001.SKB9,15,6.8,7.15,NA,NA,NA,NA,NA,2176.166667,6.990013747,1089
1001.SKD2,15,6.8,7.1,NA,NA,NA,NA,NA,4484.69697,10.00472472,2469
1001.SKD3,15,6.8,7.1,NA,NA,NA,NA,NA,4411.746479,10.13483483,2538
1001.SKD6,15,6.8,7.1,NA,NA,NA,NA,NA,4528.939655,10.12435403,2607
1001.SKD7,15,6.8,7.1,NA,NA,NA,NA,NA,2393.703518,7.61838464,1254
1001.SKD8,15,6.8,7.1,NA,NA,NA,NA,NA,2223.259669,7.252715381,1139
1001.SKD9,15,6.82,7.1,NA,NA,NA,NA,NA,NA,NA,NA
1001.SKM1,15,6.82,7.44,NA,NA,NA,NA,NA,4922.391593,10.17430281,2684
1001.SKM2,15,6.82,7.44,NA,NA,NA,NA,NA,NA,NA,NA
1001.SKM3,15,6.82,7.44,NA,NA,NA,NA,NA,4570.298283,10.19040492,2648
1001.SKM4,15,6.82,7.44,NA,NA,NA,NA,NA,3920.735941,9.631162702,2280
1001.SKM5,15,6.82,7.44,NA,NA,NA,NA,NA,4106.875,9.85712082,2370
1001.SKM7,15,6.82,7.44,NA,NA,NA,NA,NA,2219.11039,6.955885566,1087
1001.SKM8,15,6.82,7.44,NA,NA,NA,NA,NA,1916.259494,6.896079751,1002
1001.SKM9,15,6.82,7.44,NA,NA,NA,NA,NA,1618.377953,6.360787794,844
1024.DPOO1.C1.HA.1.226.bulk.9.11.G1.L00,NA,6.57,NA,NA,NA,NA,NA,NA,NA,NA,NA
1024.DPOO1.C1.HA.2.231.bulk.9.11.G1.L00,NA,6.81,NA,NA,NA,NA,NA,NA,NA,NA,NA
1024.DPOO1.C1.HA.5.246.bulk.9.11.G1.L00,NA,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
1024.HE003.C181.HA.1.551.bulk.4.12.G1.L00,NA,6.76,NA,NA,NA,NA,NA,NA,NA,NA,NA
1024.HE003.C181.HA.5.371.bulk.9.11.G1.L00,NA,6.71,NA,NA,NA,NA,NA,NA,NA,NA,NA
1024.MU002.C3.HA.1.476.bulk.4.12.G1.L00,NA,7.14,NA,NA,NA,NA,NA,NA,NA,NA,NA
1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00,NA,NA,NA,NA,NA,NA,NA,NA,5374.241176,10.53356688,2996
1024.MU002.C3.HA.3.486.bulk.4.12.G1.L00,NA,7.22,NA,NA,NA,NA,NA,NA,NA,NA,NA
1024.RU006.C181.RH.1.576.bulk.4.12.G1.L00,NA,6.43,NA,NA,NA,NA,NA,NA,NA,NA,NA
1024.RU006.C181.RH.3.586.bulk.4.12.G1.L00,NA,6.41,NA,NA,NA,NA,NA,NA,NA,NA,NA
1024.RU006.C181.RH.4.391.bulk.9.11.G1.L00,NA,6.55,NA,NA,NA,NA,NA,NA,NA,NA,NA
1024.RU006.C181.RH.4.591.bulk.4.12.G1.L00,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
1024.RU006.C181.RH.5.596.bulk.4.12.G1.L00,NA,6.22,NA,NA,NA,NA,NA,NA,NA,NA,NA
1024.SH004.C1.RH.1.1.bulk.6.11.G1.L00,NA,7.39,NA,NA,NA,NA,NA,NA,NA,NA,NA
1024.SH004.C1.RH.3.211.bulk.9.11.G1.L00,NA,7.42,NA,NA,NA,NA,NA,NA,5167.589641,10.53575284,2937
1024.SH005.C3.RH.2.456.bulk.4.12.G1.L00,NA,7.14,NA,NA,NA,NA,NA,NA,NA,NA,NA
1024.SH005.C3.RH.4.466.bulk.4.12.G1.L00,NA,7.27,NA,NA,NA,NA,NA,NA,NA,NA,NA
1024.SH005.C3.RH.5.57.bulk.6.11.G1.L00,NA,7.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
1024.SH007.C6.RH.3.311.root.9.11.G1.L00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1024.SH007.C6.RH.5.185.flw.6.11.G1.L00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1024.SH008.C6.HA.1.526.bulk.4.12.G1.L00,NA,7.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
1024.SH008.C6.HA.2.531.bulk.4.12.G1.L00,NA,6.88,NA,NA,NA,NA,NA,NA,NA,NA,NA
1024.SH008.C6.HA.4.541.bulk.4.12.G1.L00,NA,7.14,NA,NA,NA,NA,NA,NA,NA,NA,NA
1024.SH008.C6.HA.5.546.bulk.4.12.G1.L00,NA,7.04,NA,NA,NA,NA,NA,NA,NA,NA,NA
1030.TVF.2004.Loc1.D0.Rep1,NA,NA,NA,NA,NA,NA,NA,NA,1869.325444,8.062549182,1140
1030.TVF.2004.Loc1.D0.Rep2,NA,NA,NA,NA,NA,NA,NA,NA,1905.296774,7.920691838,1094
1030.TVF.2004.Loc1.D0.Rep3,NA,NA,NA,NA,NA,NA,NA,NA,2353.745856,8.080294065,1297
1030.TVF.2004.Loc1.D0.Rep4,NA,NA,NA,NA,NA,NA,NA,NA,2299.779006,7.985710655,1297
1030.TVF.2004.Loc1.D10.Rep1,NA,NA,NA,NA,NA,NA,NA,NA,1975.603093,8.192566567,1231
1030.TVF.2004.Loc1.D10.Rep2,NA,NA,NA,NA,NA,NA,NA,NA,2157.684211,8.198874289,1186
1030.TVF.2004.Loc1.D10.Rep3,NA,NA,NA,NA,NA,NA,NA,NA,1948.130435,8.212064736,1192
1030.TVF.2004.Loc1.D10.Rep4,NA,NA,NA,NA,NA,NA,NA,NA,1833.657143,8.070441829,1135
1030.TVF.2004.Loc1.D10.Rep5,NA,NA,NA,NA,NA,NA,NA,NA,2408.116732,8.783904696,1523
1030.TVF.2004.Loc2.D0.Rep1,NA,NA,NA,NA,NA,NA,NA,NA,3040.269896,9.13562972,1777
1030.TVF.2004.Loc2.D0.Rep2,NA,NA,NA,NA,NA,NA,NA,NA,3681.581967,9.577768934,2174
1030.TVF.2004.Loc2.D0.Rep3,NA,NA,NA,NA,NA,NA,NA,NA,3584.234536,9.5871537,2154
1030.TVF.2004.Loc2.D0.Rep4,NA,NA,NA,NA,NA,NA,NA,NA,2312.573991,8.389746407,1387
1030.TVF.2004.Loc2.D0.Rep5,NA,NA,NA,NA,NA,NA,NA,NA,3569.096774,9.588671546,2139
1030.TVF.2004.Loc2.D10.Rep1,NA,NA,NA,NA,NA,NA,NA,NA,2175.34555,8.274294802,1281
1030.TVF.2004.Loc2.D10.Rep2,NA,NA,NA,NA,NA,NA,NA,NA,2367.449782,8.648303575,1435
1030.TVF.2004.Loc2.D10.Rep3,NA,NA,NA,NA,NA,NA,NA,NA,2736.560811,8.961359044,1689
