country,Observed,Number,latitude
GAZ:Kenya,13.35245902,122,0.15
GAZ:Malaysia,10.25,52,4.1865
GAZ:Venezuela,10.24299065,107,6.07
GAZ:Panama,6.142857143,42,9.163
GAZ:Costa Rica,16.20634921,63,9.75
GAZ:Nicaragua,8.783333333,60,13.26267
GAZ:Belize,8.368421053,19,17.746
GAZ:Puerto Rico,8.594936709,79,18.13
GAZ:Mexico,15,7,20.91
GAZ:India,39,1,26.895
GAZ:Gulf of Mexico,4.176470588,17,28.05944
GAZ:North Atlantic Ocean,2,3,30.123961
GAZ:China,7.88,25,32.76
GAZ:Japan,11.47634584,613,35.117
GAZ:Spain,14.97844113,603,37.43155278
GAZ:Canada,18.53846154,52,43.63
GAZ:Italy,37.80392157,51,44.597
GAZ:England,2,1,50.338
GAZ:Mongolia,20.85903084,227,51.024
GAZ:Germany,3.901234568,81,53.1
GAZ:Scotland,7.509513742,473,55.873
GAZ:Sweden,4.684210526,19,58.322
GAZ:Russia,8.05,40,69.438
GAZ:Greenland,7.8,5,74.48202
GAZ:Norway,4.5,1,78.243
GAZ:Arctic Ocean,5.090909091,11,78.712
GAZ:United States of America,13.54818373,3331,40.015
