country,Observed,Number,latitude,longitude
GAZ:United States of America,13.54818373,3331,40.015,-105.271
GAZ:Arctic Ocean,5.090909091,11,78.712,-104.878
GAZ:Gulf of Mexico,4.176470588,17,28.05944,-90.24821632
GAZ:Mexico,15,7,20.91,-88.867
GAZ:Belize,8.368421053,19,17.746,-88.065
GAZ:Nicaragua,8.783333333,60,13.26267,-86.236204
GAZ:Costa Rica,16.20634921,63,9.75,-83.75
GAZ:Canada,18.53846154,52,43.63,-80.39
GAZ:Panama,6.142857143,42,9.163,-79.838
GAZ:Ecuador,11,2,-0.351,-76.058
GAZ:Peru,21.25,4,-12.65,-71.23
GAZ:Argentina,20.8,5,-32.8,-68.867
GAZ:Puerto Rico,8.594936709,79,18.13,-66.93
GAZ:Brazil,10.53488372,43,-23.18,-44.18
GAZ:North Atlantic Ocean,2,3,30.123961,-42.119688
GAZ:Greenland,7.8,5,74.48202,-20.53167
GAZ:Scotland,7.509513742,473,55.873,-4.284
GAZ:England,2,1,50.338,-4.148
GAZ:Spain,14.97844113,603,37.43155278,-3.055088889
