country,Observed,Number,latitude,longitude
GAZ:Italy,37.80392157,51,44.597,8.783
GAZ:Sweden,4.684210526,19,58.322,11.534
GAZ:Germany,3.901234568,81,53.1,13.033
GAZ:Norway,4.5,1,78.243,15.657
GAZ:Kenya,13.35245902,122,0.15,35.52
GAZ:Tanzania,49.7265625,128,-5.31,37.51
GAZ:Venezuela,10.24299065,107,6.07,61.468889
GAZ:India,39,1,26.895,70.688333
GAZ:China,7.88,25,32.76,81.73
GAZ:Mongolia,20.85903084,227,51.024,100.772
GAZ:Malaysia,10.25,52,4.1865,114.017
GAZ:Japan,11.47634584,613,35.117,138.937
GAZ:Australia,9.895538629,919,-37.673563,145.89612
GAZ:Russia,8.05,40,69.438,161.71
GAZ:Antarctica,6.492307692,130,-77.435,162.189
GAZ:New Zealand,28.95652174,23,-40.017,175.267
