Species,Number of ASVs
 uncultured streptomycete,1
 uncultured Streptomycetaceae bacterium,1
 uncultured Streptomyces sp.,3
 uncultured compost bacterium,2
 uncultured actinomycete,1
 uncultured Actinomycetales bacterium,1
Streptosporangium sp. sd-66,1
Streptomycetaceae bacterium WMMB 665,1
Streptomycetaceae bacterium WMMB 367,1
Streptomycetaceae bacterium CNQ703,1
Streptomycetaceae bacterium AF14,1
 Streptomycetaceae,2
 Streptomyces zhihengliuii,1
 Streptomyces yerevanensis,1
Streptomyces yeochonensis CN732,1
 Streptomyces yanglinensis,1
 Streptomyces xishensis,1
 Streptomyces xinjiangensis,1
 Streptomyces xiaopingdaonensis,2
 Streptomyces wedmorensis,1
 Streptomyces viridodiastaticus,1
 Streptomyces viridochromogenes,1
 Streptomyces vinaceus,2
 Streptomyces uncialis,1
 Streptomyces triangulatus,1
 Streptomyces toxytricini,1
 Streptomyces thermoluteus,1
 Streptomyces thermolineatus,2
 Streptomyces thermocarboxydus,1
 Streptomyces thermoatroviridis,1
 Streptomyces tauricus,1
 Streptomyces tacrolimicus,1
 Streptomyces sulfonofaciens,1
 Streptomyces spectabilis,1
 Streptomyces specialis,1
Streptomyces sp. ZG0416,1
Streptomyces sp. Z1R7,1
Streptomyces sp. YIM C718,1
Streptomyces sp. YIM 78087,1
Streptomyces sp. XJ-T-33F,1
Streptomyces sp. XJ 1-6-5,1
Streptomyces sp. WW5-4c,1
Streptomyces sp. WW2-Cc,1
Streptomyces sp. WMMB 539,1
Streptomyces sp. WMMB 458,1
Streptomyces sp. WDL-DM-5,1
Streptomyces sp. WAC4197,1
Streptomyces sp. VITMSS05,1
Streptomyces sp. V2,1
Streptomyces sp. UKMCC_PT7,1
Streptomyces sp. UKMCC_PT15,1
Streptomyces sp. TY65,1
Streptomyces sp. TTH-DM-1,1
Streptomyces sp. TSWCW14,1
Streptomyces sp. TSE19,1
Streptomyces sp. TRM46553,1
Streptomyces sp. TRM46499-31,1
Streptomyces sp. TRM46399-15,1
Streptomyces sp. TRM46207,1
Streptomyces sp. TRM46089,1
Streptomyces sp. TP-A0874,1
Streptomyces sp. THG S17-4,1
Streptomyces sp. TD-050,1
Streptomyces sp. TCA20005,1
Streptomyces sp. T3S17,1
Streptomyces sp. T2S11,1
Streptomyces sp. T12(2012),1
Streptomyces sp. SW4-3s,1
Streptomyces sp. SW-17,1
Streptomyces sp. SRAUA1,1
Streptomyces sp. SR-BS6,1
Streptomyces sp. SR-BS17,1
Streptomyces sp. SPS030,1
Streptomyces sp. SpD081030SC-03,1
Streptomyces sp. Soll14,1
Streptomyces sp. Soil748A2,1
Streptomyces sp. SNPostmon13,1
Streptomyces sp. SL-A5,1
Streptomyces sp. SIIA 17201,1
Streptomyces sp. Sdst3k1,1
Streptomyces sp. SD 576,1
Streptomyces sp. SD 572,1
Streptomyces sp. SCSIO 03032,1
Streptomyces sp. SCSIO 02100,1
Streptomyces sp. Sco-D14,1
Streptomyces sp. Sco-B15,1
Streptomyces sp. SCM_MKF-5,1
Streptomyces sp. SCAUEC6,1
Streptomyces sp. SBSK-285,1
Streptomyces sp. SBC34,1
streptomyces sp. SB22,1
Streptomyces sp. SAUAS2-5,1
Streptomyces sp. S72 (2010),1
Streptomyces sp. S4702,1
Streptomyces sp. S40,1
Streptomyces sp. S2704,1
Streptomyces sp. S16-07,1
Streptomyces sp. S1412,1
Streptomyces sp. S13,1
Streptomyces sp. RI104-LiC104,1
Streptomyces sp. RC 1832,1
Streptomyces sp. R7,1
Streptomyces sp. QLS81,1
Streptomyces sp. PW409,1
Streptomyces sp. PN403,1
Streptomyces sp. PENDO-1790,1
Streptomyces sp. P2-35,1
Streptomyces sp. NTRHn5,1
Streptomyces sp. NTRHn1,1
Streptomyces sp. NTG2,1
Streptomyces sp. NEAU-ZJC8,1
Streptomyces sp. NEAU-Jh3-20,1
Streptomyces sp. NEAE-82,1
Streptomyces sp. NEAE-115,1
Streptomyces sp. NBE7,1
Streptomyces sp. MUSC97T,1
Streptomyces sp. MUSC26T,1
Streptomyces sp. MUSC25T,1
Streptomyces sp. MSSRFGi8,1
Streptomyces sp. MSSRFDF41,1
Streptomyces sp. mrinalini7,1
Streptomyces sp. MNPremon7,1
Streptomyces sp. MML2603,1
Streptomyces sp. MK844-mF10,1
Streptomyces sp. MJM6929,1
Streptomyces sp. MJM2150,1
Streptomyces sp. MHA18,1
Streptomyces sp. MAR4 CNY-715,1
Streptomyces sp. MAR4 CNR927 PL04,1
Streptomyces sp. MAR3 CNR877 PL04,1
Streptomyces sp. M8Z38,1
Streptomyces sp. M7,1
Streptomyces sp. M1264,1
Streptomyces sp. LS177,1
Streptomyces sp. LLH-Irr-9,1
Streptomyces sp. LJMUEG T5,1
Streptomyces sp. L196,1
Streptomyces sp. L148,1
Streptomyces sp. KSR58S14,1
Streptomyces sp. KSR298S33,1
Streptomyces sp. KSR268S30,1
Streptomyces sp. KSR18S11,1
Streptomyces sp. KSI 1420,1
Streptomyces sp. KS11,1
Streptomyces sp. KPS-E003,1
Streptomyces sp. KLBMP 2170,1
Streptomyces sp. KAL238F55,1
Streptomyces sp. K5,1
Streptomyces sp. K4 TET,1
Streptomyces sp. JJS-2003,1
Streptomyces sp. JJG-5,1
Streptomyces sp. JJE-3,1
Streptomyces sp. Je5-6,1
Streptomyces sp. JBR-20,1
Streptomyces sp. JBL-5,1
Streptomyces sp. JBL-2,1
Streptomyces sp. JAMK1,1
