,Number of ASVs
 Streptomyces antibioticus,1
 Streptomyces coelicolor,1
 Streptomyces globisporus subsp. caucasicus,1
 Streptomyces katrae,1
 Streptomyces niveoruber,1
 Streptomyces panacagri,1
 Streptomyces phaeochromogenes,3
 Streptomyces radiopugnans,1
 Streptomyces shenzhenensis,1
 Streptomyces sp. 45(2014),1
 Streptomyces sp. GS09,1
 Streptomyces sp. I08A-00376,1
 Streptomyces sp. K4 TET,1
 Streptomyces sp. MJM6929,1
 Streptomyces sp. MUSC25T,1
 Streptomyces sp. PENDO-1790,1
 streptomyces sp. SB22,1
 Streptomyces sp. SRAUA1,1
 Streptomyces sp. T12(2012),1
 Streptomyces thermoatroviridis,1
 Streptomyces xishensis,1
 Streptomycetaceae bacterium WMMB 665,1
 uncultured Streptomyces sp.,3
